date,iso_code,nuts2,name,supplier,additional_dose
2021-10-27,ES-IB,ES53,Islas Baleares,Unknown,6422
2021-10-27,ES-CN,ES70,Canarias,Unknown,13450
2021-10-27,ES-CB,ES13,Cantabria,Unknown,7699
2021-10-27,ES-CL,ES41,Castilla y León,Unknown,62850
2021-10-27,ES-CM,ES42,Castilla-La Mancha,Unknown,22555
2021-10-27,ES-CT,ES51,Cataluña,Unknown,76378
2021-10-27,ES-VC,ES52,Comunidad Valenciana,Unknown,41537
2021-10-27,ES-EX,ES43,Extremadura,Unknown,18824
2021-10-27,ES-GA,ES11,Galicia,Unknown,26857
2021-10-27,ES-RI,ES23,La Rioja,Unknown,3617
2021-10-27,ES-MD,ES30,Madrid,Unknown,55969
2021-10-27,ES-MC,ES62,Murcia,Unknown,6270
2021-10-27,ES-NC,ES22,Navarra,Unknown,3339
2021-10-27,ES-PV,ES21,País Vasco,Unknown,14409
2021-10-27,ES-CE,ES63,Ceuta,Unknown,499
2021-10-27,ES-ML,ES64,Melilla,Unknown,218
2021-10-28,ES-AN,ES61,Andalucía,Unknown,217557
2021-10-28,ES-AR,ES24,Aragón,Unknown,21974
2021-10-28,ES-AS,ES12,Asturias,Unknown,27077
2021-10-28,ES-IB,ES53,Islas Baleares,Unknown,6843
2021-10-28,ES-CN,ES70,Canarias,Unknown,15025
2021-10-28,ES-CB,ES13,Cantabria,Unknown,10038
2021-10-28,ES-CL,ES41,Castilla y León,Unknown,62850
2021-10-28,ES-CM,ES42,Castilla-La Mancha,Unknown,26355
2021-10-28,ES-CT,ES51,Cataluña,Unknown,106657
2021-10-28,ES-VC,ES52,Comunidad Valenciana,Unknown,60546
2021-10-28,ES-EX,ES43,Extremadura,Unknown,53364
2021-10-28,ES-GA,ES11,Galicia,Unknown,58801
2021-10-28,ES-RI,ES23,La Rioja,Unknown,3948
2021-10-28,ES-MD,ES30,Madrid,Unknown,99167
2021-10-28,ES-MC,ES62,Murcia,Unknown,6429
2021-10-28,ES-NC,ES22,Navarra,Unknown,16015
2021-10-28,ES-PV,ES21,País Vasco,Unknown,50232
2021-10-28,ES-CE,ES63,Ceuta,Unknown,1294
2021-10-28,ES-ML,ES64,Melilla,Unknown,477
2021-10-30,ES-AN,ES61,Andalucía,Unknown,243067
2021-10-30,ES-AR,ES24,Aragón,Unknown,22500
2021-10-30,ES-AS,ES12,Asturias,Unknown,29403
2021-10-30,ES-IB,ES53,Islas Baleares,Unknown,6951
2021-10-30,ES-CN,ES70,Canarias,Unknown,17737
2021-10-30,ES-CB,ES13,Cantabria,Unknown,11900
2021-10-30,ES-CL,ES41,Castilla y León,Unknown,62850
2021-10-30,ES-CM,ES42,Castilla-La Mancha,Unknown,27545
2021-10-30,ES-CT,ES51,Cataluña,Unknown,121271
2021-10-30,ES-VC,ES52,Comunidad Valenciana,Unknown,81139
2021-10-30,ES-EX,ES43,Extremadura,Unknown,66685
2021-10-30,ES-GA,ES11,Galicia,Unknown,69275
2021-10-30,ES-RI,ES23,La Rioja,Unknown,4062
2021-10-30,ES-MD,ES30,Madrid,Unknown,115792
2021-10-30,ES-MC,ES62,Murcia,Unknown,6518
2021-10-30,ES-NC,ES22,Navarra,Unknown,17395
2021-10-30,ES-PV,ES21,País Vasco,Unknown,56043
2021-10-30,ES-CE,ES63,Ceuta,Unknown,1561
2021-10-30,ES-ML,ES64,Melilla,Unknown,679
2021-11-03,ES-AN,ES61,Andalucía,Unknown,293258
2021-11-03,ES-AR,ES24,Aragón,Unknown,23955
2021-11-03,ES-AS,ES12,Asturias,Unknown,36855
2021-11-03,ES-IB,ES53,Islas Baleares,Unknown,7088
2021-11-03,ES-CN,ES70,Canarias,Unknown,24093
2021-11-03,ES-CB,ES13,Cantabria,Unknown,16320
2021-11-03,ES-CL,ES41,Castilla y León,Unknown,62850
2021-11-03,ES-CM,ES42,Castilla-La Mancha,Unknown,33374
2021-11-03,ES-CT,ES51,Cataluña,Unknown,152018
2021-11-03,ES-VC,ES52,Comunidad Valenciana,Unknown,121003
2021-11-03,ES-EX,ES43,Extremadura,Unknown,76831
2021-11-03,ES-GA,ES11,Galicia,Unknown,91787
2021-11-03,ES-RI,ES23,La Rioja,Unknown,5430
2021-11-03,ES-MD,ES30,Madrid,Unknown,151395
2021-11-03,ES-MC,ES62,Murcia,Unknown,9430
2021-11-03,ES-NC,ES22,Navarra,Unknown,25764
2021-11-03,ES-PV,ES21,País Vasco,Unknown,70392
2021-11-03,ES-CE,ES63,Ceuta,Unknown,1908
2021-11-03,ES-ML,ES64,Melilla,Unknown,1135
2021-11-04,ES-AN,ES61,Andalucía,Unknown,320195
2021-11-04,ES-AR,ES24,Aragón,Unknown,26527
2021-11-04,ES-AS,ES12,Asturias,Unknown,42493
